project_name,organization
OpenJPA,Gilt Groupe
Apache Velocity,Independent (DVSL Maven)
Apache Velocity,Independent (DVSL Maven)
Apache Commons JEXL,independent
Apache Velocity Anakia,Independent (DVSL Maven)
Apache Velocity Anakia,Independent (DVSL Maven)
Apache Velocity Anakia,Independent (DVSL Maven)
Apache Commons JEXL,independent
Apache Commons Jelly,Adeptra
Apache Geronimo,Intel 
Apache Velocity,Independent (DVSL Maven) 
Apache Velocity,Independent (DVSL Maven) 
Apache Commons Jelly,Adeptra
Hadoop,Twitter
Apache BVal,IRIAN Solutions GmbH
Apache Bean Validation,IRIAN Solutions GmbH 
Apache Bean Validation,IRIAN Solutions GmbH 
Apache ServiceMix,anova
Apache ServiceMix,anova
Apache Camel,Red Hat
Camel,Red Hat
Karaf,JBoss
ServiceMix,anova
Apache Camel,FuseSource 
Apache Karaf,FuseSource
Apache Karaf,FuseSource
Apache Karaf,FuseSource
Apache ServiceMix,anova 
Apache ServiceMix,anova 
Syncope,Tirasa
Apache ServiceMix,Engineering Ingegneria Informa
ServiceMix,Engineering Ingegneria Informa
Apache ServiceMix,Engineering Ingegneria Informa
Apache Geronimo,Intel
Apache Geronimo,Intel
Ambari,Hortonworks
Apache Hadoop,Hortonworks
Apache Hadoop,Hortonworks
Apache Pig, Release
Apache Pig,HortonWorks
Hadoop,Hortonworks
Pig,HortonWorks
Zookeeper,Hortonworks
Apache Hadoop,Hortonworks 
Apache Hadoop,Hortonworks 
Apache PIG,HortonWorks 
Nutch,NASA JPL
Apache Axiom,Sonic Software
Apache Axis,Sonic Software
Apache Synapse,WSO2
Apache Axiom,Sonic Software
Apache Axis2,Sonic Software
Apache Synapse,WSO2
Synapse,WSO2
ActiveMQ,Tullib
Apache Camel,Tullib
ActiveMQ,Tullib
Camel,Tullib
Apache Camel,Tullib 
Apache Mahout,Dilisim 
Hive,Hortonworks
BVal,IRIAN Solutions GmbH
Apache ServiceMix,Capgemini France
ServiceMix,Capgemini France
Apache ServiceMix,Capgemini France
Chukwa,Intel
Apache Aries,IBM
Apache Aries,IBM
Aries,IBM
Apache Whirr,Cloudera
Apache Woden,IBM
Apache Woden,IBM 
Apache Mahout,LucidWorks 
Sentry,Cloudera
Apache ServiceMix,Progress
ServiceMix,Progress
Apache ServiceMix,Progress
Apache River,StratusCom Manufacturing Syste
River,StratusCom Manufacturing Syste
Apache River,StratusCom Manufacturing Syste
Apache Geronimo,IBM
Geronimo,Mortbay
ActiveMQ,MortBay
Apache ServiceMix,MortBay
Apache ActiveMQ,MortBay
ActiveMQ,MortBay
ServiceMix,MortBay
Apache Geronimo,Mortbay 
Apache ServiceMix,MortBay 
Apache Hbase,Cloudera
HBase,Cloudera
Apache HBase,Cloudera 
Syncope,Stadtwerke Mï¿½_nchen Services Gm
Apache Syncope,Stadtwerke Mï¿½_nchen Services Gm
ActiveMQ,Fuse Source
Apache ODE,Iona
Apache ODE,Iona
Apache ServiceMix,FuseSource
Apache ServiceMix,FuseSource
Apache ActiveMQ,Fuse Source
Apache Camel,Red Hat
ActiveMQ,Red Hat
Camel,Red Hat
Karaf,JBoss
ServiceMix,FuseSource
Apache Aries,Progress
Apache Aries,Progress
Aries,Progress
Geronimo,IONA
Apache Camel,FuseSource 
Apache Karaf,FuseSource
Apache Karaf,FuseSource
Apache Karaf,FuseSource
Apache ODE,Iona 
Apache ODE,Iona 
Apache ServiceMix,FuseSource 
Apache ServiceMix,FuseSource 
Apache Geronimo,IONA 
Hive,Hortonworks
Apache Hive,Hortonworks
Sqoop,Cloudera
ActiveMQ,Talend
Apache ActiveMQ,Talend
Apache Camel,Talend
ActiveMQ,Talend
Camel,Talend
Apache Camel,Talend 
Apache Geronimo,Mortbay
Apache Geronimo,IBM 
Geronimo,IBM
Apache Hadoop,Facebook
Apache Hadoop,Facebook
Hadoop,Facebook
Apache Hadoop,Facebook 
Apache Hadoop,Facebook 
ActiveMQ,ASPone
Apache Camel,ASPone
ActiveMQ,ASPone
Camel,ASPone
Apache Camel,ASPone 
Sentry,Cloudera
Hive,Hortonworks
Flume,Cloudera
Sqoop,Cloudera
Hive,Hortonworks
Apache Hive,Hortonworks
Apache Hadoop,Cloudera
Hadoop,Cloudera
Oozie,Cloudera
Apache Hadoop,Cloudera 
MyFaces,IBM
Apache Hive,Facebook
Karaf,Savoir Technologies
Apache Karaf,Savoir Technologies
Apache Karaf,Savoir Technologies
Apache OpenJPA,IBM Corporation
OpenJPA,IBM
Apache OpenJPA,IBM Corporation 
Apache Batik,Efacec
Apache OpenJPA,IBM Corporation
Apache OpenJPA,IBM Corporation 
OpenJPA,IBM
Apache Velocity,The Henning Schmiedehausen Org
Apache Velocity,The Henning Schmiedehausen Org
Apache Turbine,INTERMETA - Gesellschaft fï¿½_r M
Apache Velocity Anakia,The Henning Schmiedehausen Org
Apache Velocity Anakia,The Henning Schmiedehausen Org
Apache Velocity Anakia,The Henning Schmiedehausen Org
Apache Turbine,INTERMETA - Gesellschaft fï¿½_r M
Apache Velocity,The Henning Schmiedehausen Org
Apache Velocity,The Henning Schmiedehausen Org
Flume,Cloudera
Zookeeper,Cloudera
Apache Camel,Red Hat
Camel,Red Hat
Apache Geronimo,IONA
Apache Geronimo,IONA
Apache Maven,ASF
Apache Synapse,WSO2
Apache Synapse,WSO2
Synapse,WSO2
Db,Integrated Technology S.C.
ActiveMQ,Fuse Source
Apache ServiceMix,FuseSource
Apache ServiceMix,FuseSource
Apache ActiveMQ,Fuse Source
Apache Camel,Red Hat
ActiveMQ,Red Hat
Camel,Red Hat
Karaf,JBoss
ServiceMix,FuseSource
Apache Aries,Progress
Apache Aries,Progress
Aries,Progress
Geronimo,IONA
Apache Camel,FuseSource 
Apache Karaf,FuseSource
Apache Karaf,FuseSource
Apache ServiceMix,FuseSource 
Apache ServiceMix,FuseSource 
Apache Geronimo,IONA 
Apache Synapse,WSO2
Apache Synapse,WSO2
Synapse,WSO2
Apache Hadoop,Hortonworks
Apache Ambari,Hortonworks
Apache Ambari,Hortonworks
Apache Ambari,Hortonworks
Ambari,Hortonworks
Hadoop,Hortonworks
Apache Hadoop,Hortonworks 
Apache Hadoop,Hortonworks 
Apache Aries,IBM
Apache Aries,IBM
Aries,IBM
Apache Geronimo,IBM
Apache Geronimo,IBM 
Geronimo,IBM
Zookeeper,Cloudera
Apache ServiceMix,GAIA-TI
ServiceMix,GAIA-TI
Apache ServiceMix,GAIA-TI
Apache Torque,Integrated Technology S.C.
Apache Torque,Integrated Technology S.C.
Accumulo,Cloudera
Apache Sling,Adobe 
Apache Sling,Adobe 
Mesos,Twitter
Apache Aries,IBM
Apache Aries,IBM
Aries,IBM
Spark,Cloudera
Apache Synapse,WSO2
Apache Synapse,WSO2
Synapse,WSO2
Apache Gora,FuseSource
Apache ServiceMix,Upstream S.A.
Apache Whirr,FuseSource
Apache Camel,Red Hat
Apache Gora,RedHat
Apache Gora,RedHat
Apache Whirr,FuseSource
Camel,Red Hat
Gora,Red Hat
Karaf,JBoss
ServiceMix,Upstream S.A.
Apache Camel,FuseSource 
Apache Karaf,FuseSource
Apache Karaf,FuseSource
Apache Karaf,FuseSource
Apache ServiceMix,Upstream S.A. 
Apache Mahout,Homepage
Ambari,Microsoft
Hadoop,Microsoft
Apache Hadoop,Microsoft 
Apache Turbine,ByteAction GmbH
Apache Turbine,HEAG MediaNet GmbH
Turbine,HEAG MediaNet GmbH
Apache Turbine,HEAG MediaNet GmbH 
Apache Turbine,ByteAction GmbH 
Apache Turbine,ByteAction GmbH 
Apache Geronimo,IONA
Apache Geronimo,IONA
Accumulo,Booz Allen Hamilton
Apache Ambari,WANdisco
Ambari,WANdisco
Apache Ambari,Hortonworks
Ambari,Hortonworks
Giraph,Twitter
Apache Hadoop,LinkedIn
Apache Hadoop,LinkedIn
Giraph,LinkedIn
Hadoop,LinkedIn
Tajo,Microsoft
Apache Hadoop,LinkedIn 
Apache Hadoop,LinkedIn 
Apache Axiom,Virtusa / Lanka Software Found
Apache Axis,Indiana University
Apache Sandesha,Indiana University
Apache Axiom,Virtusa / Lanka Software Found
Apache Axis2,Indiana University
Apache Sandesha,Indiana University
Apache Commons Lang,Carman Consulting
Apache Commons Proxy,Carman Consulting
Apache Commons VFS,Apache Software Foundation
Apache Commons Lang,Carman Consulting
Apache Commons Proxy,Carman Consulting
Apache Commons VFS,Apache Software Foundation
Apache ANT,Sun Microsystems
Apache Commons Validator,EdgeTech
Apache Commons Validator,EdgeTech
Apache Bigtop,Canonical 
Apache Aries,Progress
Apache Aries,Progress
Aries,Progress
Geronimo,IONA
ActiveMQ,Fuse Source
Apache Commons CLI,SpiritSoft
Apache Commons Discovery,SpiritSoft
Apache Commons JEXL,SpiritSoft
Apache Commons VFS,SpiritSoft
Apache ServiceMix,FuseSource
Apache ServiceMix,FuseSource
Apache ActiveMQ,Fuse Source
Apache Camel,Red Hat
Apache Commons CLI,SpiritSoft
Apache Commons Discovery,SpiritSoft
Apache Commons JEXL,SpiritSoft
Apache Commons Jelly,SpiritSoft
Apache Commons VFS,SpiritSoft
ActiveMQ,Red Hat
Camel,Red Hat
Karaf,JBoss
ServiceMix,FuseSource
Apache Geronimo,IONA 
Apache Camel,FuseSource 
Apache Karaf,FuseSource
Apache Commons Betwixt,SpiritSoft
Apache Karaf,FuseSource
Apache ServiceMix,FuseSource 
Apache ServiceMix,FuseSource 
Apache ServiceMix,Savoir Technologies
Karaf,Savoir Technologies
ServiceMix,Savoir Technologies
Apache Karaf,Savoir Technologies
Apache Karaf,Savoir Technologies
Apache Karaf,Savoir Technologies
Apache ServiceMix,Savoir Technologies 
Apache Commons Configuration,TD Bank
Apache Commons Configuration,TD Bank
Apache Geronimo,IONA
Apache Geronimo,IONA
Geronimo,Mortbay
Apache ServiceMix,MortBay
ServiceMix,MortBay
Apache Geronimo,Mortbay 
Apache ServiceMix,MortBay 
Apache Syncope,Talend
Apache Syncope,Talend
Syncope,Talend
Apache Syncope,Talend 
Apache Commons EL,Sun Microsystems
Apache Commons El,Sun Microsystems
Ambari,Hortonworks
Apache Aries,IBM
Apache Geronimo,Mortbay
Apache Geronimo,Mortbay
Apache Aries,IBM
Aries,IBM
Geronimo,IBM
Karaf,IBM
Apache Geronimo,IBM 
Apache Karaf,IBM
Apache Karaf,IBM
Apache Karaf,IBM
Sentry,Cloudera
Flume,Cloudera
Sqoop,Cloudera
Spark,Intel
Hive,Hortonworks
Apache Geronimo,IBM
Apache Geronimo,IBM
Apache Hadoop,Yahoo!
Apache Hadoop,Yahoo! 
Apache Hadoop,Yahoo! 
Apache Commons Configuration,Zenplex
Apache Commons Email,Zenplex
Apache Commons FileUpload,Zenplex
Apache Commons Betwixt,Zenplex 
Apache Commons Configuration,Zenplex 
Apache Commons Configuration,Zenplex 
Apache Commons Email,Zenplex 
Apache Geronimo,IBM 
Geronimo,IBM
Apache Geronimo,IBM
Apache Geronimo,IBM
Apache Axiom,Computer Associates
Apache Axis,Computer Associates
Apache Axiom,Computer Associates
Apache Axis2,Computer Associates
Oozie,Inmobi
Ambari,Hortonworks
Aries,Talend
Apache ServiceMix,Fimasys
Apache ServiceMix,Fimasys
Apache Syncope,Talend
Apache Syncope,Talend
Apache Archiva,Talend
Apache Camel,Talend
ActiveMQ,Talend
Camel,Talend
Falcon,Talend
Karaf,Talend
ServiceMix,Fimasys
Syncope,Talend
Apache Camel,Talend 
Apache Karaf,Talend
Apache Karaf,Talend
Apache Karaf,Talend
Apache ServiceMix,Fimasys 
Apache ServiceMix,Fimasys 
Apache Syncope,Talend 
Apache Sling,Adobe 
Apache Hbase,Cloudera
HBase,Cloudera
Apache HBase,Cloudera 
Apache Aries,IBM
Apache Aries,IBM
Aries,IBM
MyFaces,Oracle
Apache Axis,IBM
Apache Axis2,IBM
Apache Commons HTTP Client,Independent consultant
Apache Commons HTTP Client,Independent consultant 
Apache Mahout,WindwardSolutions 
Apache Accumulo,Cloudera
Accumulo,Cloudera
Geronimo,Savoir Technologies
Apache ServiceMix,Savoir Technologies
Apache ServiceMix,Savoir Technologies
Apache Camel,Savoir Technologies
ActiveMQ,Savoir Technologies
Camel,Savoir Technologies
ServiceMix,Savoir Technologies
Apache Geronimo,Savoir Technologies 
Apache Camel,Savoir Technologies 
Apache ServiceMix,Savoir Technologies 
Apache ServiceMix,Savoir Technologies 
Apache Avro,Cloudera
Apache Avro,Cloudera
Apache Avro,Cloudera
Avro,Cloudera
ActiveMQ,SYS Technologies
Apache Camel,SYS Technologies
ActiveMQ,SYS Technologies
Camel,SYS Technologies
Apache Camel,SYS Technologies 
Ambari,Hortonworks
Ambari,Hortonworks
Apache ODE,JBoss
Apache ODE,JBoss
Apache ODE,JBoss 
Apache ODE,JBoss 
Apache Commons Net,Quad/Graphics
Apache Commons Net,Quad/Graphics
Knox,IBM
HBase,Hortonworks
Apache HBase,Hortonworks 
Apache OpenJPA,IBM
Apache OpenJPA,IBM
Apache OpenJPA,IBM
Apache OpenJPA,IBM
OpenJPA,IBM
Apache BVal,IBM
Apache Bean Validation,IBM 
Apache Bean Validation,IBM 
Apache Geronimo,IBM
Apache Woden,IBM
Apache Woden,IBM 
Apache Aries,IBM
Apache Aries,IBM
Aries,IBM
Accumulo,IBM
Apache ANT,Oracle
Apache Continuum,ASF
Apache Maven,ASF
Apache Accumulo,Cloudera
Accumulo,Cloudera
Calcite,Hortonworks
Hive,Hortonworks
Hadoop,Hortonworks
Apache Hadoop,Hortonworks 
Apache Commons Jelly,Genscape
Apache Commons Jelly,Genscape
Apache Hbase,Cloudera
HBase,Cloudera
Hive,Cloudera
Apache HBase,Cloudera 
HBase,IBM
Hadoop,Hortonworks
Apache Hadoop,Hortonworks 
Apache Hadoop,Hortonworks
Apache Hadoop,Hortonworks
Apache Ambari,Hortonworks
Apache Ambari,Hortonworks
Apache Ambari,Hortonworks
Ambari,Hortonworks
Hadoop,Hortonworks
Hive,Hortonworks
Apache Hadoop,Hortonworks 
Apache Hadoop,Hortonworks 
Apache Hive,Hortonworks
Db,CollabNet
Apache Continuum,ASF
Apache Maven,ASF
Apache Archiva,ASF
Apache Aries,IBM
Apache Geronimo,Savoir Technologies
Apache Geronimo,Savoir Technologies
Apache Aries,IBM
Aries,IBM
Geronimo,IBM
Apache Geronimo,IBM 
Sentry,RedHat
ActiveMQ,TTM
Apache Camel,TTM
ActiveMQ,Red Hat
Camel,TTM
Apache Camel,TTM 
Apache OpenJPA,IBM Corporation
OpenJPA,IBM
Apache OpenJPA,IBM Corporation 
Apache Commons Jelly,ThoughtWorks
Apache Commons Jelly,ThoughtWorks
ActiveMQ,Google
Apache ActiveMQ,Google
ActiveMQ,Google
Ambari,Hortonworks
Apache ServiceMix,Savoir Technologies
Apache Camel,Savoir Technologies
Camel,Savoir Technologies
ServiceMix,Savoir Technologies
Apache Camel,Savoir Technologies 
Apache ServiceMix,Savoir Technologies 
Apache Hadoop,Twitter
Apache Whirr,Twitter
Apache Whirr,Twitter
Apache Whirr,Twitter
Apache Whirr,Twitter
Hadoop,Twitter
Apache Hadoop,Twitter 
Apache Maven,ASF
Apache Woden,IBM
Apache Woden,IBM 
Apache Commons CLI,integral Source
Apache Commons CLI,integral Source
Apache River,Sun Microsystems
Apache Commons Email,CollabNet
Apache Commons FileUpload,CollabNet
Apache Torque,CollabNet
Apache Torque,CollabNet
Apache Commons Email,CollabNet
Calcite,Hortonworks
Hive,Hortonworks
Apache Geronimo,IBM
Apache Geronimo,IBM
Apache Aries,IBM
Apache Aries,IBM
Aries,IBM
Apache Hive,Facebook
Apache Bigtop,Facebook 
Apache Ambari,Hortonworks
Ambari,Hortonworks
Knox,Hortonworks
Apache Ambari,Hortonworks
Flume,Cloudera
Db,CollabNet
ActiveMQ,Fuse Source
Apache ServiceMix,FuseSource
Apache ActiveMQ,Fuse Source
Apache Camel,Red Hat
ActiveMQ,Red Hat
Camel,Red Hat
ServiceMix,FuseSource
Apache Camel,FuseSource 
Apache ServiceMix,FuseSource 
Apache Commons Email,CollabNet
Apache Torque,CollabNet
Apache Torque,CollabNet
Apache Commons Betwixt,StudioZ 
Apache Commons Email,CollabNet
ActiveMQ,Iona
Apache ActiveMQ,Iona
Apache Pig,Twitter
Pig,Twitter
Apache Hadoop,Yahoo!
Apache Hadoop,Yahoo! 
Apache Hadoop,Yahoo! 
Apache Hbase,Cloudera
Apache Accumulo,Cloudera
Accumulo,Cloudera
Flume,Cloudera
HBase,Cloudera
Sqoop,Cloudera
Apache HBase,Cloudera 
Ambari,Hortonworks
Ambari,Hortonworks
Db,Oracle
Apache Accumulo,Hortonworks
Apache Accumulo,Hortonworks
Accumulo,Hortonworks
Calcite,Hortonworks
Phoenix,Hortonworks
Apache Hive,Facebook
Hive,Qubole
Apache Hive,Qubole 
BVal,IBM
Apache Commons Jelly,SpiritSoft
Apache River,Sun Microsystems
Ambari,IBM
Apache ServiceMix,CSC Austria AG
ServiceMix,CSC Austria AG
Apache ServiceMix,CSC Austria AG
Apache Karaf,Code-House
Apache Jackrabbit,Adobe
Apache Sling,Day Software
Jackrabbit,Adobe
Apache Jackrabbit,Adobe
Apache Sling,Day Software 
REEF,Microsoft
Calcite,Hortonworks
Apache Jackrabbit,greenbytes GmbH
Jackrabbit,greenbytes GmbH
Apache Jackrabbit,greenbytes GmbH
Apache Pig,Twitter
Apache Pig,Twitter
Pig,Twitter
Apache PIG,Twitter 
Apache Gora,DigitalPebble
Apache Gora,DigitalPebble
Apache Geronimo,IBM 
Geronimo,IBM
Hadoop,Hortonworks
Apache Jackrabbit,Adobe
Jackrabbit,Adobe
Apache Sling,Adobe
Apache Sling,Adobe
Apache Jackrabbit,Adobe
Apache Sling,Adobe 
Apache Sling,Adobe 
Db,Zenplex
Db,Oracle
Hadoop,Intel
Apache Hadoop,IBM
Apache Ambari,IBM
Apache Ambari,IBM
Apache Ambari,IBM
Ambari,IBM
Hadoop,IBM
Apache Hadoop,IBM 
Apache Hbase,Facebook
HBase,Facebook
Apache HBase,Facebook 
Apache Whirr,Outerthought
Apache Whirr,Outerthought
Hadoop,Cloudera
Apache Hadoop,Cloudera 
Apache Hbase,Facebook
HBase,Facebook
Apache HBase,Facebook 
Apache Synapse,University of Colombo
Apache Synapse,University of Colombo
Synapse,University of Colombo
Sqoop,Cloudera
Apache Gora,Healthline Networks
Apache Gora,Healthline Networks
Gora,Healthline Networks
Apache Axis,WSO2
Apache Axis2,WSO2
Apache Accumulo,Peterson Technologies
Apache Accumulo,Peterson Technologies
Apache Gora,Peterson Technologies
Apache Accumulo,Peterson Technologies
Apache Accumulo,Peterson Technologies
Apache Gora,Peterson Technologies
Apache Gora,Peterson Technologies
Accumulo,Peterson Technologies
Gora,Peterson Technologies
Apache Geronimo,IBM
Apache Geronimo,IBM
Geronimo,IBM
Apache Geronimo,IBM 
BVal,IBM
Apache Aries,IBM
Apache Geronimo,IBM
Apache Geronimo,IBM
Apache Aries,IBM
Apache BVal,IBM
Apache Geronimo,IBM 
Apache Bean Validation,IBM 
Apache Bean Validation,IBM 
Apache Bean Validation,IBM 
Knox,Hortonworks
Apache OpenJPA,IBM
Apache OpenJPA,IBM
Apache OpenJPA,IBM
Apache OpenJPA,IBM
OpenJPA,IBM
Hive,Facebook
Apache Hive,Facebook
Apache Hadoop,Yahoo!
Apache Hadoop,Yahoo! 
Apache Hadoop,Yahoo! 
Nutch,LucidWorks
Apache Aries,SAP
Apache Aries,SAP
Aries,SAP
Db,IBM
Apache Hadoop,Yahoo!
Apache Hadoop,Yahoo! 
Hadoop,WANdisco
Ignite,WANdisco
Apache Bigtop,WANdisco 
Apache Hadoop,WANdisco 
Apache Commons Configuration,scand.com
Apache Commons Configuration,scand.com
Apache Hadoop,WANdisco
Apache Hadoop,WANdisco
Hadoop,WANdisco
Apache Hadoop,WANdisco 
Apache Hadoop,WANdisco 
Ambari,Hortonworks
Apache ODE,Sybase
Apache ODE,Sybase
Apache ODE,Sybase 
Apache ODE,Sybase 
Hadoop,Hortonworks
Knox,Hortonworks
Apache Hbase,Cloudera
Apache Whirr,Cloudera
Apache Whirr,Cloudera
Apache Whirr,Cloudera
Apache Whirr,Cloudera
HBase,Cloudera
Apache HBase,Cloudera 
Camel,Red Hat
Apache ServiceMix,FuseSource
Apache ServiceMix,FuseSource
ServiceMix,FuseSource
Apache Camel,FuseSource 
Apache Karaf,FuseSource
Apache ServiceMix,FuseSource 
Apache ServiceMix,FuseSource 
Apache Woden,IBM
Apache Woden,IBM 
Apache Aries,IBM
Aries,IBM
Apache Aries,IBM
Apache Geronimo,IBM
Apache Geronimo,IBM
Apache Geronimo,IBM 
Geronimo,IBM
Hadoop,Cloudera
Sentry,Cloudera
Apache Gora,Stanford University
Apache Gora,Stanford University
Gora,NASA JPL
Nutch,NASA JPL
Hadoop,Hortonworks
Hive,Intel
Apache Geronimo,IBM
Apache Geronimo,IBM
Apache Geronimo,IBM 
Geronimo,IBM
Apache Aries,IBM
Apache Geronimo,IBM
Apache Geronimo,IBM
Apache Aries,IBM
Aries,IBM
Geronimo,IBM
Apache Geronimo,IBM 
Apache Hbase,Facebook
HBase,Facebook
Apache HBase,Facebook 
Hadoop,Twitter
BVal,IBM
Apache BVal,IBM
Apache Bean Validation,IBM 
Apache Bean Validation,IBM 
Apache Hadoop,IBM
Apache ANT,Metamach Solutions
Apache Hadoop,Hortonworks
Apache Hadoop,Hortonworks
Apache Ambari,Hortonworks
Apache Ambari,Hortonworks
Apache Ambari,Hortonworks
Ambari,Hortonworks
Hadoop,Hortonworks
Knox,Hortonworks
Zookeeper,Hortonworks
Apache Hadoop,Hortonworks 
Apache Hadoop,Hortonworks 
Giraph,Facebook
Knox,Hortonworks
Apache Click,Avoka Technologies
Apache Click,Avoka Technologies
Apache Click,Avoka Technologies 
MyFaces,Oracle
Db,IBM
Geronimo,IBM
Apache Geronimo,IBM 
Apache Jackrabbit,Adobe
Jackrabbit,Adobe
Apache Jackrabbit,Adobe
Spark,Cloudera
ActiveMQ,product + concept
Apache Camel,product + concept
ActiveMQ,product + concept
Camel,product + concept
Apache Camel,product + concept 
Apache Syncope,Tirasa
Apache Syncope,Tirasa
Syncope,Tirasa
Apache Syncope,Tirasa 
REEF,Microsoft
Apache Commons VFS,OPS EDV Gmbh
Apache MyFaces,OPS EDV GmbH
Apache Tobago,OPS EDV GmbH
Apache Commons VFS,OPS EDV Gmbh
Apache MyFaces,OPS EDV GmbH
MyFaces,OPS EDV GmbH
Apache Tobago,OPS EDV GmbH 
Apache Geronimo,IBM
ActiveMQ,Savoir Technologies
Sentry,Cloudera
Apache Aries,IBM
Apache Aries,IBM
Aries,IBM
Apache Commons DBCP,Apache Software Foundation
Pig,LinkedIn
Apache Commons BCEL,it-frameworksolutions
Apache Commons BCel,it-frameworksolutions
REEF,Microsoft
Airavata,Indiana University
Apache Jackrabbit,GX
Jackrabbit,GX
Apache Jackrabbit,GX
Apache Commons SCXML,Apache Software Foundation
Apache Archiva,ASF
Apache ServiceMix,InterComponentWare AG
ServiceMix,InterComponentWare AG
Apache ServiceMix,InterComponentWare AG
Apache Commons Configuration,tucana.at
Apache Commons DBCP,tucana.at
Apache Torque,Tucana.at
Apache Torque,Tucana.at
Apache Commons Configuration,tucana.at 
Apache Commons Configuration,tucana.at 
Apache Commons DBCP,tucana.at 
Apache Commons Betwixt,mvdb.com 
Phoenix,Intel
Calcite,Intel
Apache Syncope,Tirasa
Apache Syncope,Tirasa
Syncope,Tirasa
Apache Syncope,Tirasa 
ActiveMQ,360 Treasury Systems
Apache Camel,360 Treasury Systems
ActiveMQ,360 Treasury Systems
Camel,360 Treasury Systems
Apache Camel,360 Treasury Systems 
Apache BVal,Permanent General Assurance Co
Apache Bean Validation,Permanent General Assurance Co
Apache Bean Validation,Permanent General Assurance Co
Apache Bean Validation,Permanent General Assurance Co
MyFaces,Oracle
Apache Hadoop,Hortonworks
Apache Hadoop,Hortonworks
Hadoop,Hortonworks
Apache Hadoop,Hortonworks 
Apache Hadoop,Hortonworks 
ServiceMix,IBM
Apache ServiceMix,IBM
Apache ServiceMix,IBM
Apache ServiceMix,IBM 
Apache ServiceMix,IBM 
Apache Sandesha,IBM
Apache Sandesha,IBM
Apache Avro,Cloudera
Hive,Hortonworks
Apache Geronimo,IBM
Apache Geronimo,IBM
Apache Hbase,Cloudera
HBase,Cloudera
Apache HBase,Cloudera 
Apache Woden,IBM
Apache Woden,IBM 
Ambari,Red Hat
Crunch,Independent
Apache MyFaces,Kaazing
Apache Tobago,Kaazing
Apache BVal,Kaazing
Apache MyFaces,Kaazing
MyFaces,Kaazing
Apache Bean Validation,Kaazing 
Apache Bean Validation,Kaazing 
Apache Tobago,Kaazing 
BVal,Kaazing
ActiveMQ,BetFair
Apache ActiveMQ,BetFair
ActiveMQ,BetFair
MyFaces,Oracle
BVal,Permanent General Assurance Co
Sqoop,Google
Apache Jackrabbit,Adobe
Jackrabbit,Adobe
Apache Jackrabbit,Adobe
Apache MyFaces,IBM
Apache Tobago,IBM
Apache MyFaces,IBM
MyFaces,IBM
Apache Tobago,IBM 
Apache Jackrabbit,Adobe
Jackrabbit,Adobe
Apache Jackrabbit,Adobe
ActiveMQ,BoxTone
Apache ActiveMQ,BoxTone
ActiveMQ,BoxTone
Nutch,NASA JPL
Apache Axis,IBM
Apache Axis2,IBM
Phoenix,Cloudera
Apache Hbase,Cloudera
Apache Hadoop,StumbleUpon
HBase,Cloudera
Apache Bigtop,StumbleUpon 
Apache HBase,Cloudera 
Apache Hadoop,StumbleUpon 
Apache Accumulo,Cloudera
Apache Accumulo,Cloudera
Accumulo,Cloudera
Apache Sling,MySign AG
Apache Sling,MySign AG
Apache Sling,MySign AG 
Apache Sling,MySign AG 
Flume,Cloudera
Apache Maven,IBM
Maven,IBM
Apache Maven,IBM 
Accumulo,Peterson Technologies
Db,IBM
HBase,Facebook
Apache Hbase,Facebook
HBase,Facebook
Apache HBase,Facebook 
Airavata,Indiana University
Hadoop,Twitter
Apache Geronimo,IBM 
Geronimo,IBM
HBase,Cloudera
Apache Hive,Yahoo!
Apache Camel,InterComponentWare AG
Camel,InterComponentWare AG
Apache Camel,InterComponentWare AG 
BVal,Thebe Technology
Apache BVal,Thebe Technology
Apache Bean Validation,Thebe Technology 
Apache Bean Validation,Thebe Technology 
Apache Commons Logging,Apache
Ambari,Hortonworks
Db,Tucana.at
Apache Hadoop,Yahoo!
Apache Hadoop,Yahoo! 
Db,IBM
Apache Ambari,Hortonworks
Ambari,Hortonworks
Db,Oracle
Apache Axis,Lanka Software Foundation
Apache Axis2,Lanka Software Foundation
Ambari,Hortonworks
Apache Hive,Facebook
Apache Hive,Facebook 
Apache Axiom,WSO2
Apache Axis,WSO2
Apache Axiom,WSO2
Apache Axis2,WSO2
Apache Ambari,Hortonworks
Ambari,Hortonworks
Apache Commons EL,Massachusetts Institute of Tec
Apache Commons El,Massachusetts Institute of Tec
Apache Velocity,ESHA Research
Apache Velocity,ESHA Research
Apache Velocity Anakia,ESHA Research
Apache Velocity Anakia,ESHA Research
Apache Velocity Anakia,ESHA Research
Velocity,ESHA Research
Apache Velocity,ESHA Research 
Apache Velocity,ESHA Research 
Hive,NexR
Apache Hive,NexR 
Apache Hive,NexR
ActiveMQ,Royal Bank of Scotland
Apache Camel,Royal Bank of Scotland
ActiveMQ,Royal Bank of Scotland
Camel,Royal Bank of Scotland
Apache Camel,Royal Bank of Scotland 
Apache Axis,IBM
Apache Axis2,IBM
Calcite,Hortonworks
Ambari,Hortonworks
Apache HBase,Hortonworks 
Spark,IBM
ActiveMQ,Evolution
Apache Camel,Evolution
ActiveMQ,Evolution
Camel,Evolution
Apache Camel,Evolution 
Syncope,Intesys
Apache Commons Configuration,Cap Gemini
Apache Commons Configuration,Cap Gemini
